id;taxonRank;taxonomicStatus;publishingCountry;hasCoordinate;hasGeospatialIssues
823;SPECIES;ACCEPTED;BR;TRUE;FALSE
824;KINGDOM;;BR;TRUE;FALSE
825;KINGDOM;;BR;TRUE;FALSE
826;KINGDOM;;BR;TRUE;FALSE
827;KINGDOM;;BR;TRUE;FALSE
828;KINGDOM;;BR;TRUE;FALSE
829;SPECIES;ACCEPTED;BR;TRUE;FALSE
830;SPECIES;ACCEPTED;BR;TRUE;FALSE
831;SPECIES;ACCEPTED;BR;TRUE;FALSE
832;SPECIES;ACCEPTED;BR;TRUE;FALSE
833;GENUS;ACCEPTED;BR;TRUE;FALSE
834;SPECIES;ACCEPTED;BR;TRUE;FALSE
835;SPECIES;ACCEPTED;BR;TRUE;FALSE
836;KINGDOM;;BR;TRUE;FALSE
837;KINGDOM;;BR;TRUE;FALSE
838;KINGDOM;;BR;TRUE;FALSE
839;KINGDOM;;BR;TRUE;FALSE
840;KINGDOM;;BR;TRUE;FALSE
841;SPECIES;ACCEPTED;BR;TRUE;FALSE
842;SPECIES;ACCEPTED;BR;TRUE;FALSE
843;SPECIES;ACCEPTED;BR;TRUE;FALSE
844;SPECIES;ACCEPTED;BR;TRUE;FALSE
845;SPECIES;ACCEPTED;BR;TRUE;FALSE
846;SPECIES;ACCEPTED;BR;TRUE;FALSE
847;SPECIES;ACCEPTED;BR;TRUE;FALSE
848;SPECIES;ACCEPTED;BR;TRUE;FALSE
849;SPECIES;ACCEPTED;BR;TRUE;FALSE
850;SPECIES;ACCEPTED;BR;TRUE;FALSE
851;SPECIES;ACCEPTED;BR;TRUE;FALSE
852;SPECIES;ACCEPTED;BR;TRUE;FALSE
853;SPECIES;ACCEPTED;BR;TRUE;FALSE
854;SPECIES;ACCEPTED;BR;TRUE;FALSE
855;SPECIES;ACCEPTED;BR;TRUE;FALSE
856;SPECIES;ACCEPTED;BR;TRUE;FALSE
857;SPECIES;ACCEPTED;BR;TRUE;FALSE
858;SPECIES;ACCEPTED;BR;TRUE;FALSE
859;SPECIES;ACCEPTED;BR;TRUE;FALSE
860;SPECIES;ACCEPTED;BR;TRUE;FALSE
861;SPECIES;ACCEPTED;BR;TRUE;FALSE
862;SPECIES;ACCEPTED;BR;TRUE;FALSE
863;SPECIES;ACCEPTED;BR;TRUE;FALSE
864;SPECIES;ACCEPTED;BR;TRUE;FALSE
865;SPECIES;ACCEPTED;BR;TRUE;FALSE
866;SPECIES;ACCEPTED;BR;TRUE;FALSE
867;SPECIES;ACCEPTED;BR;TRUE;FALSE
